category_name	attribute1_name	attribute2_name	attribute3_name	attribute4_name	attribute5_name	theme_name
UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED
KEYCHAIN	VINYL	1 IN	CIRCLE	TASSLE	BEIGE	SNARK
STICKER	ACRYLIC	2 IN	OVAL	NO TASSLE	BURGUNDY	NEURODIVERGENT
BUTTON	POLY	3 IN	SQUARE	GLOSSY	RED	FEMINIST
COVER	LAMINATE	4 IN	TRIANGLE	MATTE	ORANGE	PUNNY
INSERT	PAPER	5 IN	S RECT	LAMINATED	GOLDENROD	MENTAL HEALTH
DISC	METAL	HALF LETTER	L RECT		YELLOW	POSITIVITY
CLIP	PLASTIC	LETTER	HEART		SPRING	PRIDE
PEN	ALLOY	A5	HEX		GREEN	
REFILL	GEL	A4			HUNTER	
		1.25 IN			TURQUOISE	
		2.25 IN			BLUE	
		1.5 IN			SKY	
		2.5 IN			VIOLET	
					PURPLE	
					DOLLY	
					PINK	
					BROWN	
					GOLD	
					SILVER	
					GRAY	
					BLACK	
					WHITE	
					CLEAR	
					ROSE	
					PATTERN	
